Year,Season,Genotype_ID,Genotype_ID_C,Treatment,Plant_ID,Date,Length_of_Leaf_4_mm,Length_of_Leaf_5_mm,Length_of_Leaf_5_cm,Origin_Grouped_by_Region,Origin_Single,Origin_Grouped_by_Climate,Genetic_Origin,Length_of_Lean_4_cm
2021,SUMMER,B73,B73,Control,54,2021-06-12,196,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,54,2021-06-13,257,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,54,2021-06-14,323,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,54,2021-06-15,379,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,54,2021-06-16,414,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,54,2021-06-17,434,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,54,2021-06-18,442,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,54,2021-06-19,448,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,54,2021-06-20,454,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,54,2021-06-21,454,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,54,2021-06-22,454,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,55,2021-06-11,141,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,55,2021-06-12,209,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,55,2021-06-13,276,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,55,2021-06-14,342,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,55,2021-06-15,398,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,55,2021-06-16,420,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,55,2021-06-17,429,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,55,2021-06-18,437,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,55,2021-06-19,440,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,55,2021-06-20,440,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,55,2021-06-21,440,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,56,2021-06-11,115,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,56,2021-06-12,178,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,56,2021-06-13,245,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,56,2021-06-14,315,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,56,2021-06-15,375,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,56,2021-06-16,399,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,56,2021-06-17,415,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,56,2021-06-18,420,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,56,2021-06-19,426,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,56,2021-06-20,426,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,56,2021-06-21,426,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,57,2021-06-12,154,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,57,2021-06-13,215,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,57,2021-06-14,287,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,57,2021-06-15,348,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,57,2021-06-16,407,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,57,2021-06-17,440,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,57,2021-06-18,451,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,57,2021-06-19,455,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,57,2021-06-20,463,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,57,2021-06-21,463,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,57,2021-06-22,463,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,58,2021-06-11,146,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,58,2021-06-12,209,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,58,2021-06-13,277,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,58,2021-06-14,356,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,58,2021-06-15,405,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,58,2021-06-16,429,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,58,2021-06-17,444,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,58,2021-06-18,445,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,58,2021-06-19,445,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,58,2021-06-20,445,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,59,2021-06-11,156,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,59,2021-06-12,222,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,59,2021-06-13,291,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,59,2021-06-14,364,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,59,2021-06-15,401,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,59,2021-06-16,412,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,59,2021-06-17,419,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,59,2021-06-18,427,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,59,2021-06-19,427,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,59,2021-06-20,427,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,60,2021-06-11,123,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,60,2021-06-12,185,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,60,2021-06-13,250,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,60,2021-06-14,324,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,60,2021-06-15,401,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,60,2021-06-16,447,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,60,2021-06-17,469,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,60,2021-06-18,473,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,60,2021-06-19,473,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,60,2021-06-20,473,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-11,132,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-12,200,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-13,266,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-14,343,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-15,408,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-16,436,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-17,447,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-18,452,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-19,461,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-20,463,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-21,464,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-22,461,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,61,2021-06-23,456,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,62,2021-06-14,145,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,62,2021-06-15,201,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,62,2021-06-16,260,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,62,2021-06-17,333,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,62,2021-06-18,385,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,62,2021-06-19,400,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,62,2021-06-20,413,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,62,2021-06-21,415,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,62,2021-06-22,416,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,62,2021-06-23,423,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-11,135,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-12,198,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-13,265,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-14,345,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-15,403,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-16,423,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-17,435,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-18,440,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-19,443,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-20,449,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-21,447,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-22,445,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,63,2021-06-23,448,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-11,94,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-12,161,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-13,235,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-14,306,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-15,374,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-16,410,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-17,428,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-18,439,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-19,449,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-20,450,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-21,450,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,64,2021-06-22,450,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,65,2021-06-12,103,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,65,2021-06-13,158,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,65,2021-06-14,223,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,65,2021-06-15,282,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,65,2021-06-16,321,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,65,2021-06-17,338,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,65,2021-06-18,347,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,65,2021-06-19,354,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,65,2021-06-20,355,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,65,2021-06-21,355,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,65,2021-06-22,355,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-11,93,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-12,160,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-13,231,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-14,308,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-15,348,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-16,364,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-17,352,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-18,409,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-19,433,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-20,443,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-21,457,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-22,459,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,66,2021-06-23,463,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,68,2021-06-16,85,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,68,2021-06-17,133,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,68,2021-06-18,188,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,68,2021-06-19,239,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,68,2021-06-20,273,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,68,2021-06-21,299,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,68,2021-06-22,303,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,68,2021-06-23,309,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,69,2021-06-11,101,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,69,2021-06-12,164,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,69,2021-06-13,233,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,69,2021-06-14,308,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,69,2021-06-15,375,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,69,2021-06-16,426,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,69,2021-06-17,450,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,69,2021-06-18,460,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,69,2021-06-19,466,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,69,2021-06-20,466,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,69,2021-06-21,466,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,156,2021-06-15,91,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,156,2021-06-16,118,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,156,2021-06-17,160,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,156,2021-06-18,213,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,156,2021-06-19,266,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,156,2021-06-20,329,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,156,2021-06-21,375,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,156,2021-06-22,456,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,156,2021-06-23,427,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,156,2021-06-24,434,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,156,2021-06-25,434,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,157,2021-06-14,114,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,157,2021-06-15,139,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,157,2021-06-16,179,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,157,2021-06-17,235,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,157,2021-06-18,314,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,157,2021-06-19,383,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,157,2021-06-20,431,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,157,2021-06-21,451,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,157,2021-06-22,457,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,157,2021-06-23,469,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,157,2021-06-24,469,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-13,87,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-14,130,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-15,162,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-16,202,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-17,263,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-18,334,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-19,396,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-20,445,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-21,475,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-22,484,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-23,499,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,158,2021-06-24,501,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B97,B97,Control,159,2021-06-14,120,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
